id,admin_graphql_api_id,app_id,browser_ip,buyer_accepts_marketing,cancel_reason,cancelled_at,cart_token,checkout_id,checkout_token,client_details,closed_at,company,confirmation_number,confirmed,contact_email,created_at,currency,current_subtotal_price,current_subtotal_price_set,current_total_additional_fees_set,current_total_discounts,current_total_discounts_set,current_total_duties_set,current_total_price,current_total_price_set,current_total_tax,current_total_tax_set,customer_locale,device_id,discount_codes,email,estimated_taxes,financial_status,fulfillment_status,landing_site,landing_site_ref,location_id,merchant_of_record_app_id,name,note,note_attributes,number,order_number,order_status_url,original_total_additional_fees_set,original_total_duties_set,payment_gateway_names,phone,po_number,presentment_currency,processed_at,reference,referring_site,source_identifier,source_name,source_url,subtotal_price,subtotal_price_set,tags,tax_exempt,tax_lines,taxes_included,test,token,total_discounts,total_discounts_set,total_line_items_price,total_line_items_price_set,total_outstanding,total_price,total_price_set,total_shipping_price_set,total_tax,total_tax_set,total_tip_received,total_weight,updated_at,user_id,billing_address,customer,discount_applications,fulfillments,line_items,payment_terms,refunds,shipping_address,shipping_lines
6438539100501,gid://shopify/Order/6438539100501,1608003,,False,,,,,,,,,20QHRXCJI,True,egnition_sample_20241220012948_1@egnition.com,2024-12-19T09:29:58-05:00,GBP,0.20,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.20,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_1@egnition.com,False,pending,,,,,,#1011,,[],11,1011,https://impression-digital-test-store.myshopify.com/92179693909/orders/29d86c7e7f0aa5ef3147d42be1ceaa77/authenticate?key=9981481bca381187c7987ecbbb74b617,,,[],,,GBP,2024-12-19T09:29:58-05:00,,,,1608003,,0.20,subtotal_price_set(None),egnition-sample-data,False,[],False,False,29d86c7e7f0aa5ef3147d42be1ceaa77,0.00,total_discounts_set(None),0.20,total_line_items_price_set(None),0.20,0.20,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:30:58-05:00,,billing_address(None),customer(8879036957013),[],[],"[line_item(16348849799509), line_item(16348849832277)]",,[],shipping_address(None),[]
6438539329877,gid://shopify/Order/6438539329877,1608003,,False,,,,,,,,,PZ6HQPRVA,True,egnition_sample_20241220012948_3@egnition.com,2024-12-19T09:30:04-05:00,GBP,0.20,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.20,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_3@egnition.com,False,refunded,,,,,,#1012,,[],12,1012,https://impression-digital-test-store.myshopify.com/92179693909/orders/816151342632306f5e50e161cd461e9d/authenticate?key=3780f611e7542b44e1cdf83e2b21789f,,,[],,,GBP,2024-12-19T09:30:04-05:00,,,,1608003,,0.20,subtotal_price_set(None),egnition-sample-data,False,[],False,False,816151342632306f5e50e161cd461e9d,0.00,total_discounts_set(None),0.20,total_line_items_price_set(None),0.20,0.20,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:31:04-05:00,,billing_address(None),customer(8879037055317),[],[],"[line_item(16348850192725), line_item(16348850225493)]",,[],shipping_address(None),[]
6438539428181,gid://shopify/Order/6438539428181,1608003,,False,,,,,,,,,3VNQAUZV0,True,egnition_sample_20241220012948_1@egnition.com,2024-12-19T09:30:09-05:00,GBP,0.30,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.30,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_1@egnition.com,False,paid,,,,,,#1013,,[],13,1013,https://impression-digital-test-store.myshopify.com/92179693909/orders/ef978979575691a56a4a59c221232903/authenticate?key=6a8d8e1a4135f35c60ed6a8649045dd0,,,[],,,GBP,2024-12-19T09:30:09-05:00,,,,1608003,,0.30,subtotal_price_set(None),egnition-sample-data,False,[],False,False,ef978979575691a56a4a59c221232903,0.00,total_discounts_set(None),0.30,total_line_items_price_set(None),0.30,0.30,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:31:10-05:00,,billing_address(None),customer(8879036957013),[],[],"[line_item(16348850356565), line_item(16348850389333), line_item(16348850422101)]",,[],shipping_address(None),[]
6438539526485,gid://shopify/Order/6438539526485,1608003,,False,,,,,,,,,LPQGIPUYA,True,egnition_sample_20241220012948_2@egnition.com,2024-12-19T09:30:15-05:00,GBP,0.30,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.30,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_2@egnition.com,False,refunded,,,,,,#1014,,[],14,1014,https://impression-digital-test-store.myshopify.com/92179693909/orders/0c3165c8854f6f167c6922a92d5d9615/authenticate?key=ccaf6855c3f39291379718fe14f2045a,,,[],,,GBP,2024-12-19T09:30:15-05:00,,,,1608003,,0.30,subtotal_price_set(None),egnition-sample-data,False,[],False,False,0c3165c8854f6f167c6922a92d5d9615,0.00,total_discounts_set(None),0.30,total_line_items_price_set(None),0.30,0.30,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:31:16-05:00,,billing_address(None),customer(8879036989781),[],[],"[line_item(16348850618709), line_item(16348850651477), line_item(16348850684245)]",,[],shipping_address(None),[]
6438540542293,gid://shopify/Order/6438540542293,1608003,,False,,,,,,,,,AWLCRUKL0,True,egnition_sample_20241220012948_3@egnition.com,2024-12-19T09:31:02-05:00,GBP,0.10,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.10,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_3@egnition.com,False,paid,,,,,,#1015,,[],15,1015,https://impression-digital-test-store.myshopify.com/92179693909/orders/9a364a396d5da1add2f048a0168f476c/authenticate?key=889586f598ea8394aa356b9fa2542ebc,,,[],,,GBP,2024-12-19T09:31:02-05:00,,,,1608003,,0.10,subtotal_price_set(None),egnition-sample-data,False,[],False,False,9a364a396d5da1add2f048a0168f476c,0.00,total_discounts_set(None),0.10,total_line_items_price_set(None),0.10,0.10,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:32:02-05:00,,billing_address(None),customer(8879037055317),[],[],[line_item(16348852355413)],,[],shipping_address(None),[]
6438540771669,gid://shopify/Order/6438540771669,1608003,,False,,,,,,,,,5RMF5QFIZ,True,egnition_sample_20241220012948_1@egnition.com,2024-12-19T09:31:08-05:00,GBP,0.10,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.10,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_1@egnition.com,False,paid,,,,,,#1016,,[],16,1016,https://impression-digital-test-store.myshopify.com/92179693909/orders/64df19e3bcbb3c99cb429e0a48f3ff58/authenticate?key=c2d51f777e914c04ca908c5d401bdfac,,,[],,,GBP,2024-12-19T09:31:08-05:00,,,,1608003,,0.10,subtotal_price_set(None),egnition-sample-data,False,[],False,False,64df19e3bcbb3c99cb429e0a48f3ff58,0.00,total_discounts_set(None),0.10,total_line_items_price_set(None),0.10,0.10,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:32:08-05:00,,billing_address(None),customer(8879036957013),[],[],[line_item(16348852846933)],,[],shipping_address(None),[]
6438540968277,gid://shopify/Order/6438540968277,1608003,,False,,,,,,,,,FHM5MW9MR,True,egnition_sample_20241220012948_1@egnition.com,2024-12-19T09:31:13-05:00,GBP,0.30,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.30,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_1@egnition.com,False,paid,,,,,,#1017,,[],17,1017,https://impression-digital-test-store.myshopify.com/92179693909/orders/dcb0f818fd52db7cd89fccab0518ea15/authenticate?key=ebae929030b2ca23d38a0db28eac387b,,,[],,,GBP,2024-12-19T09:31:13-05:00,,,,1608003,,0.30,subtotal_price_set(None),egnition-sample-data,False,[],False,False,dcb0f818fd52db7cd89fccab0518ea15,0.00,total_discounts_set(None),0.30,total_line_items_price_set(None),0.30,0.30,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:32:14-05:00,,billing_address(None),customer(8879036957013),[],[],"[line_item(16348853338453), line_item(16348853371221), line_item(16348853403989)]",,[],shipping_address(None),[]
6438541295957,gid://shopify/Order/6438541295957,1608003,,False,,,,,,,,,0CPFPXEZ8,True,egnition_sample_20241220012948_3@egnition.com,2024-12-19T09:31:19-05:00,GBP,0.10,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.10,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_3@egnition.com,False,paid,,,,,,#1018,,[],18,1018,https://impression-digital-test-store.myshopify.com/92179693909/orders/a5441517c64a399ed82cfc103386e350/authenticate?key=52d358979eb512eaf032380665c8ed5f,,,[],,,GBP,2024-12-19T09:31:19-05:00,,,,1608003,,0.10,subtotal_price_set(None),egnition-sample-data,False,[],False,False,a5441517c64a399ed82cfc103386e350,0.00,total_discounts_set(None),0.10,total_line_items_price_set(None),0.10,0.10,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:32:20-05:00,,billing_address(None),customer(8879037055317),[],[],[line_item(16348854026581)],,[],shipping_address(None),[]
6438542311765,gid://shopify/Order/6438542311765,1608003,,False,,,,,,,,,98XQ05DX3,True,egnition_sample_20241220012948_2@egnition.com,2024-12-19T09:32:06-05:00,GBP,0.20,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.20,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_2@egnition.com,False,pending,,,,,,#1019,,[],19,1019,https://impression-digital-test-store.myshopify.com/92179693909/orders/1ce63a0a5d8220d49d83ea7bf4a01f2f/authenticate?key=1a73940f58fbf57f75eefff0899a237f,,,[],,,GBP,2024-12-19T09:32:06-05:00,,,,1608003,,0.20,subtotal_price_set(None),egnition-sample-data,False,[],False,False,1ce63a0a5d8220d49d83ea7bf4a01f2f,0.00,total_discounts_set(None),0.20,total_line_items_price_set(None),0.20,0.20,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:33:07-05:00,,billing_address(None),customer(8879036989781),[],[],"[line_item(16348855599445), line_item(16348855632213)]",,[],shipping_address(None),[]
6438542442837,gid://shopify/Order/6438542442837,1608003,,False,,,,,,,,,GFE6VI9CP,True,egnition_sample_20241220012948_1@egnition.com,2024-12-19T09:32:12-05:00,GBP,0.10,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.10,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_1@egnition.com,False,refunded,,,,,,#1020,,[],20,1020,https://impression-digital-test-store.myshopify.com/92179693909/orders/45602a1dac938ea260a1754cb209dfcd/authenticate?key=6be42221ad459c7a29afe758de59ae38,,,[],,,GBP,2024-12-19T09:32:12-05:00,,,,1608003,,0.10,subtotal_price_set(None),egnition-sample-data,False,[],False,False,45602a1dac938ea260a1754cb209dfcd,0.00,total_discounts_set(None),0.10,total_line_items_price_set(None),0.10,0.10,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:33:12-05:00,,billing_address(None),customer(8879036957013),[],[],[line_item(16348855927125)],,[],shipping_address(None),[]
6438542639445,gid://shopify/Order/6438542639445,1608003,,False,,,,,,,,,K1LK44LFP,True,egnition_sample_20241220012948_2@egnition.com,2024-12-19T09:32:17-05:00,GBP,0.30,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.30,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_2@egnition.com,False,refunded,,,,,,#1021,,[],21,1021,https://impression-digital-test-store.myshopify.com/92179693909/orders/201fc98c96423959d629343d55dac7aa/authenticate?key=c9e966e73e15816e20defe020ee41d4a,,,[],,,GBP,2024-12-19T09:32:17-05:00,,,,1608003,,0.30,subtotal_price_set(None),egnition-sample-data,False,[],False,False,201fc98c96423959d629343d55dac7aa,0.00,total_discounts_set(None),0.30,total_line_items_price_set(None),0.30,0.30,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:33:18-05:00,,billing_address(None),customer(8879036989781),[],[],"[line_item(16348856189269), line_item(16348856222037), line_item(16348856254805)]",,[],shipping_address(None),[]
6438542803285,gid://shopify/Order/6438542803285,1608003,,False,,,,,,,,,XU0W5M47P,True,egnition_sample_20241220012948_3@egnition.com,2024-12-19T09:32:23-05:00,GBP,0.20,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.20,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_3@egnition.com,False,refunded,,,,,,#1022,,[],22,1022,https://impression-digital-test-store.myshopify.com/92179693909/orders/12e68681e917e732b3791132c8609479/authenticate?key=4a64ff6607ecd87ef89d432fb6f2a878,,,[],,,GBP,2024-12-19T09:32:23-05:00,,,,1608003,,0.20,subtotal_price_set(None),egnition-sample-data,False,[],False,False,12e68681e917e732b3791132c8609479,0.00,total_discounts_set(None),0.20,total_line_items_price_set(None),0.20,0.20,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:33:24-05:00,,billing_address(None),customer(8879037055317),[],[],"[line_item(16348856615253), line_item(16348856648021)]",,[],shipping_address(None),[]
6438543851861,gid://shopify/Order/6438543851861,1608003,,False,,,,,,,,,E995GYWR0,True,egnition_sample_20241220012948_3@egnition.com,2024-12-19T09:33:10-05:00,GBP,0.10,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,0.10,current_total_price_set(None),0.00,current_total_tax_set(None),,,[],egnition_sample_20241220012948_3@egnition.com,False,paid,,,,,,#1023,,[],23,1023,https://impression-digital-test-store.myshopify.com/92179693909/orders/724045646353db6a171558318a5c003a/authenticate?key=6d0aba04d0b0955d1f5d0716566844b1,,,[],,,GBP,2024-12-19T09:33:10-05:00,,,,1608003,,0.10,subtotal_price_set(None),egnition-sample-data,False,[],False,False,724045646353db6a171558318a5c003a,0.00,total_discounts_set(None),0.10,total_line_items_price_set(None),0.10,0.10,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-19T09:34:10-05:00,,billing_address(None),customer(8879037055317),[],[],[line_item(16348858679637)],,[],shipping_address(None),[]
